"state","1960","1970","1980","1991","2000","2010","area"
"Rondônia",70783,116620,503125,1130874,1377792,1562409,"both"
"Acre",160208,218006,306893,417165,557226,733559,"both"
"Amazonas",721215,960934,1449135,2102901,2813085,3483985,"both"
"Roraima",29489,41638,82018,215950,324152,450479,"both"
"Pará",1550935,2197072,3507312,5181570,6189550,7581051,"both"
"Amapá",68889,116480,180078,288690,475843,669526,"both"
"Tocantins",328486,537563,738688,920116,1155913,1383445,"both"
"Maranhão",2492139,3037135,4097231,4929029,5642960,6574789,"both"
"Piauí",1263368,1734894,2188150,2581215,2841202,3118360,"both"
"Ceará",3337856,4491590,5380432,6362620,7418476,8452381,"both"
"Rio Grande do Norte",1157258,1611606,1933126,2414121,2771538,3168027,"both"
"Paraíba",2018023,2445419,2810032,3200677,3439344,3766528,"both"
"Pernambuco",4138289,5253901,6244275,7122548,7911937,8796448,"both"
"Alagoas",1271062,1606174,2011875,2512991,2819172,3120494,"both"
"Sergipe",760273,911251,1156642,1491867,1781714,2068017,"both"
"Bahia",5990605,7583140,9597393,11855157,13066910,14016906,"both"
"Minas Gerais",9960040,11645095,13651852,15731961,17866402,19597330,"both"
"Espírito Santo",1418348,1617857,2063679,2598505,3094390,3514952,"both"
"Rio de Janeiro",6709891,9110324,11489797,12783761,14367083,15989929,"both"
"São Paulo",12974699,17958693,25375199,31546473,36969476,41262199,"both"
"Paraná",4296375,6997682,7749752,8443299,9558454,10444526,"both"
"Santa Catarina",2146909,2930411,3687652,4538248,5349580,6248436,"both"
"Rio Grande do Sul",5448823,6755458,7942722,9135479,10181749,10693929,"both"
"Mato Grosso do Sul",579652,1010731,1401151,1778741,2074877,2449024,"both"
"Mato Grosso",330610,612887,1169812,2022524,2502260,3035122,"both"
"Goiás",1626376,2460007,3229219,4012562,4996439,6003788,"both"
"Distrito Federal",141742,546015,1203333,1598415,2043169,2570160,"both"
"Rondônia",30842,60541,239436,658172,883048,1149180,"urban"
"Acre",33998,60557,135754,258035,370018,532279,"urban"
"Amazonas",239659,409278,869020,1501807,2104290,2755490,"urban"
"Roraima",12717,17929,49622,139466,246732,344859,"urban"
"Pará",630672,1037340,1702403,2609777,4116378,5191559,"urban"
"Amapá",35390,63785,106424,233515,423581,601036,"urban"
"Tocantins",57935,134793,296238,530795,858915,1090106,"urban"
"Maranhão",448509,771790,1296413,1972008,3357898,4147149,"urban"
"Piauí",298152,561081,931204,1366218,1787192,2050959,"urban"
"Ceará",1124829,1811202,2877555,4158059,5304554,6346557,"urban"
"Rio Grande do Norte",435189,751064,1140697,1668165,2032163,2464991,"urban"
"Paraíba",708051,1019338,1479705,2051576,2443590,2838678,"urban"
"Pernambuco",1858078,2862489,3864285,5046535,6052930,7052210,"urban"
"Alagoas",428228,642208,995344,1481125,1917922,2297860,"urban"
"Sergipe",295929,421358,629415,1001940,1271465,1520366,"urban"
"Bahia",2083716,3140407,4745022,7007729,8761604,10102476,"urban"
"Minas Gerais",3964580,6167113,9185088,11776538,14651164,16715216,"urban"
"Espírito Santo",403461,734756,1324701,1922828,2460621,2931472,"urban"
"Rio de Janeiro",5300629,8013057,10546547,12177144,13798096,15464239,"urban"
"São Paulo",8149979,14432244,22494328,29272927,34531635,39585251,"urban"
"Paraná",1327982,2546899,4566755,6192976,7781664,8912692,"urban"
"Santa Catarina",695347,1266709,2201350,3205600,4211979,5247913,"urban"
"Rio Grande do Sul",2445774,3620588,5385866,6994134,8312899,9100291,"urban"
"Mato Grosso do Sul",242088,460137,939510,1413095,1744520,2097238,"urban"
"Mato Grosso",121916,239524,673069,1481073,1985590,2482801,"urban"
"Goiás",541469,1134242,2172965,3241119,4390660,5420714,"urban"
"Distrito Federal",89698,524315,1164659,1513470,1954442,2482210,"urban"
"Rondônia",39941,56079,263689,472702,494744,413229,"rural"
"Acre",126210,157449,171139,159130,187208,201280,"rural"
"Amazonas",481556,551656,580115,601094,708795,728495,"rural"
"Roraima",16772,23709,32396,76484,77420,105620,"rural"
"Pará",920263,1159732,1804909,2571793,2073172,2389492,"rural"
"Amapá",33499,52695,73654,55175,52262,68490,"rural"
"Tocantins",270551,402770,442450,389321,296998,293339,"rural"
"Maranhão",2043630,2265345,2800818,2957021,2285062,2427640,"rural"
"Piauí",965216,1173813,1256946,1214997,1054010,1067401,"rural"
"Ceará",2213027,2680388,2502877,2204561,2113922,2105824,"rural"
"Rio Grande do Norte",722069,860542,792429,745956,739375,703036,"rural"
"Paraíba",1309972,1426081,1330327,1149101,995754,927850,"rural"
"Pernambuco",2280211,2391412,2379990,2076013,1859007,1744238,"rural"
"Alagoas",842834,963966,1016531,1031866,901250,822634,"rural"
"Sergipe",464344,489893,527227,489927,510249,547651,"rural"
"Bahia",3906889,4442733,4852371,4847428,4305306,3914430,"rural"
"Minas Gerais",5995460,5477982,4466764,3955423,3215238,2882114,"rural"
"Espírito Santo",1014887,883101,738978,675677,633769,583480,"rural"
"Rio de Janeiro",1409262,1097267,943250,606617,568987,525690,"rural"
"São Paulo",4824720,3526449,2880871,2273546,2437841,1676948,"rural"
"Paraná",2968393,4450783,3182997,2250323,1776790,1531834,"rural"
"Santa Catarina",1451562,1663702,1486302,1332648,1137601,1000523,"rural"
"Rio Grande do Sul",3003049,3134870,2556856,2141345,1868850,1593638,"rural"
"Mato Grosso do Sul",337564,550594,461641,365646,330357,351786,"rural"
"Mato Grosso",208694,373363,496743,541451,516670,552321,"rural"
"Goiás",1084907,1325765,1056254,771443,605779,583074,"rural"
"Distrito Federal",52044,21700,38674,84945,88727,87950,"rural"
